,Absolute Magnitude,avg_dia,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion
0,21.6,0.2058460875,22017.003799315,62753692.0,5,0.0252819,4.634,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,609.599786407648,0.808258932678493,57.25746987539545,2.005763672747459,2458161.6417204863,264.8375332988031,0.5905513880204395
1,21.3,0.23634293085000002,65210.3460948409,57298148.0,3,0.186935,5.457,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.8692942066788,0.7181996160227876,313.0919748302692,1.497352292852652,2457794.969431285,173.7411119891742,0.8453297875598617
2,20.3,0.3745783022,27326.5601819679,7622911.5,0,0.0430579,4.557,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,643.580228077368,0.950790956866954,248.4150381128607,1.966856672082667,2458120.4675489054,292.8936537794408,0.5593708201314143
3,27.4,0.01424106985,40225.948191338,42683616.0,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.70770087172089,1.527904212254787,2457902.3374338527,68.74100661777578,0.7002771964497434
4,21.6,0.2058460875,35426.9917941048,61010824.0,1,0.034798,5.154,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,495.597820944911,0.9676866361064762,158.2635960713293,1.483542837130177,2457814.455148689,135.1421326756292,0.7263954456329549
5,19.6,0.5170619942,38911.83825064,58759768.0,1,0.272213,4.724,2458000.5,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,556.1605558442809,0.5777997876790363,198.1459691510273,2.069264572262516,2458009.402634515,354.2373683433312,0.6472950953048102
6,19.6,0.5170619942,38911.829716462,58759532.0,1,0.272213,4.724,2458000.5,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.1459598526758,2.069264592520325,2458009.402591357,354.237396160877,0.6472951085146458
7,19.2,0.6216452461499999,87918.7823817199,19324928.0,0,0.0987582,4.921,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,502.8087578997973,0.6809045288785588,288.3746511156045,1.794044543719008,2458242.439098669,186.7769322776995,0.7159779823718642
8,17.8,1.184520597,62545.6218132504,53598364.0,0,0.109354,5.386,2458000.5,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,447.8370128477652,0.8727046815850249,353.4223941040977,1.418397016947041,2458221.636404156,182.2364315309588,0.803863882779104
9,21.5,0.21554731475,46438.5949989635,22709816.0,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.7659371965322,1.359211087430526,2457900.7702821824,119.8613823033982,1.201862242530755
10,22.4,0.1424106986,80716.918732587,30075154.0,6,0.000317965,7.033,2458000.5,0.4758194774081156,0.8138767249034949,23.18568668072357,117.1112240445536,268.18616502096,0.4266183269852852,220.9403707579688,1.201135122821705,2457996.3603927726,5.556806412851552,1.342351123786957
11,25.8,0.02975381215,62188.6012700346,64479012.0,4,0.00186378,5.122,2458000.5,0.2048406780030454,1.240789317594743,13.7442332087249,161.933518574421,504.8303955012963,0.9866251925196996,13.92021256207252,1.494953442669786,2457935.0333707174,46.68495944704712,0.7131107857372974
12,25.0,0.043007343399999995,43626.6358322947,53825524.0,6,0.0187898,6.384,2458000.5,0.326860711970322,0.930233744449396,8.333753551706272,20.49127086505545,327.7076361182716,0.626176880439848,128.46312989278,1.234290608458944,2457939.7129855743,66.77697673554127,1.098540163006986
13,19.1,0.650942484,38987.734642195,64425220.0,0,0.214004,4.862,2458000.5,0.1493579627014401,1.32292378805863,21.26523155355708,122.4368331936925,555.777121989752,1.125334586264921,297.7298536948962,1.520512989852338,2457976.984646116,15.23187454710148,0.6477416679390378
14,18.8,0.7473819704,142579.1804929074,45023444.0,0,0.102643,3.242,2458000.5,0.8610933305709985,1.982738584288127,10.02263604097735,163.2099234123562,1019.756809422007,0.2754156130918373,199.3714586963143,3.690061555484416,2457894.2264480977,37.51725738061909,0.3530253455272793
15,25.2,0.03922316335,90760.6389007836,74196656.0,6,0.0119773,6.89,2458000.5,0.4416943551013883,0.8375570081279065,19.76759210755226,243.614950945384,279.9754763169043,0.4676128055622026,41.6483224835708,1.20750121069361,2457925.3675273424,96.60735473164922,1.285826904326849
16,20.0,0.4300734342,11120.4141428446,35727636.0,0,0.240288,3.788,2458000.5,0.3775493600967308,1.958154259500409,5.660561156228656,112.1644170272148,1000.849506520639,1.218854371855342,34.30691815167334,2.697454147145476,2457771.55338336,82.35082442826075,0.3596944372301356
17,21.0,0.271357992,72069.2709657714,71520800.0,1,0.0984179,6.469,2458000.5,0.4527922930841961,0.907864592986423,8.278695740027688,114.3798292883882,315.9585012447702,0.4967905021181501,7.392326563703367,1.318938683854696,2457968.7570858626,36.16756328615697,1.139390136937988
18,22.3,0.14912230804999999,30694.755039371,69003400.0,3,0.0259126,5.372,2458000.5,0.2597323195329087,1.16651991571092,5.035044225594919,28.8520216092119,460.1894557939667,0.8635369922219897,271.6146744029957,1.46950283919985,2457770.912607256,179.6031185576674,0.7822865028032653
19,22.7,0.1240345333,28510.2865608238,16047525.0,4,0.0525422,6.519,2458000.5,0.1514158524079464,0.9137303163513598,5.860414922890069,177.8573023304907,319.0255591799234,0.7753770616300362,90.64125634459155,1.052083571072684,2458138.755972242,203.9869515937405,1.12843623227369
20,26.1,0.025914487049999997,16759.7229360863,38220508.0,5,0.018587,6.36,2458000.5,0.1714328826365063,0.9391389588534732,11.94779476707688,229.0663217594457,332.4246440437997,0.7781396599409749,227.5499749797063,1.100138257765971,2458042.506078219,314.5094251287649,1.082952201198919
21,20.6,0.3262440628,7791.7422557238,63257484.0,2,0.183818,3.753,2458000.5,0.4074703521368719,1.978471308901617,4.06169556322702,142.2597510835389,1016.466480875606,1.172302907970777,38.66044217724877,2.784639709832457,2457957.8350370787,15.11056876015708,0.3541680977909752
22,21.7,0.19658148744999998,102308.2353404514,7261686.5,1,0.0128745,6.152,2453548.5,0.8684189074961081,0.9067337425159876,4.035074270183858,342.7842082321538,315.3683407722336,0.1193090164503963,322.3904957839119,1.694158468581579,2453597.57543235,303.9792986106828,1.141522319959188
23,23.9,0.07137442405,37985.471179349,2952796.75,3,0.0109543,4.767,2458000.5,0.3988200079942557,1.35791927755497,3.854342068985657,341.218636234598,577.9754044222896,0.8163539004249429,237.1733163416558,1.899484654684997,2457913.2981201303,54.31490079465933,0.6228638749080249
24,23.9,0.07137442405,63233.6675491447,64932800.0,1,0.0453154,6.298,2458000.5,0.3973810059711997,0.9403258403908948,11.6076647207195,195.3700872141465,333.0550192934602,0.5666582119956471,315.2418743196193,1.313993468786142,2458097.467355856,255.1877435084699,1.080902491016951
25,21.3,0.23634293085000002,69203.3956488727,15266183.0,4,0.0140066,5.149,2458000.5,0.2494248827236086,1.183993437388868,35.2402424959676,149.1565598893367,470.5679773704998,0.8886760131226273,55.21650962102305,1.479310861655108,2457816.1554508256,141.0296511750646,0.7650329332047928
26,26.989,0.01720848415,25790.9330143395,31654442.0,7,0.0071428,5.874,2458000.5,0.3179061258474021,1.03436766129103,4.008314775490596,322.7144944711469,384.2473032363464,0.705535845388161,249.0178764867158,1.363199477193899,2457901.6235421547,92.63701924370052,0.9368966209206364
27,19.3,0.5936666012,48874.689520897,52470692.0,0,0.00132059,5.308,2458000.5,0.1902842554038815,1.189560559495507,5.883903317829792,251.5911063365942,473.8907826636587,0.96320591417408,211.4467739786354,1.415915204816935,2457797.7514800234,154.0217068187274,0.7596687109559334
28,22.6,0.12988010075,41293.0729588648,7744736.5,0,0.0341962,5.089,2458000.5,0.4282526106821032,1.234937694057483,5.850410278034516,151.2892418885367,501.2634017981307,0.7060724025476296,292.6184516502227,1.763802985567337,2457751.688642938,178.6926558391438,0.7181852868344447
29,23.8,0.07473819705,42950.3131091804,14592393.0,0,0.052677,7.48,2455882.5,0.3864587856542614,0.7629744336180587,20.83376792025673,352.9223651783215,243.4240059087946,0.4681162605167759,351.1788107856062,1.057832606719342,2455988.2188708745,203.652258647551,1.478900976327223
